Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
0.624,0.857,10.0,-6.25,0.0,0.0542,0.0208,0.206,0.11,0.324,131.926,celticmetal
0.517,0.916,0.0,-4.933,1.0,0.0559,0.000182,0.00191,0.306,0.444,135.996,celticmetal
0.251,0.894,8.0,-4.103,0.0,0.057,0.0144,0.0,0.123,0.297,114.223,celticmetal
0.469,0.743,1.0,-5.57,0.0,0.0272,0.00222,0.000111,0.276,0.481,86.953,celticmetal
0.487,0.952,1.0,-4.429,0.0,0.0613,0.000228,0.0,0.161,0.329,125.993,celticmetal
0.43,0.797,2.0,-5.907,0.0,0.0303,0.000308,0.0566,0.323,0.352,147.982,celticmetal
0.434,0.908,6.0,-4.715,1.0,0.0936,0.00791,0.0,0.662,0.461,126.331,celticmetal
0.308,0.965,8.0,-3.172,1.0,0.0591,2.28e-05,0.0648,0.117,0.189,175.036,celticmetal
0.5,0.925,4.0,-3.467,0.0,0.0378,0.00094,0.0,0.294,0.372,92.988,celticmetal
0.479,0.977,2.0,-4.515,1.0,0.086,1.66e-05,5.31e-05,0.298,0.139,150.01,celticmetal
0.519,0.944,11.0,-4.89,0.0,0.0552,0.0003,2.67e-05,0.395,0.439,108.05,celticmetal
0.495,0.959,0.0,-3.621,1.0,0.0367,0.000216,2.18e-06,0.339,0.667,90.024,celticmetal
0.397,0.929,2.0,-4.511,1.0,0.116,0.000596,0.000541,0.315,0.116,149.936,celticmetal
0.434,0.884,7.0,-6.342,1.0,0.0687,0.00438,0.000676,0.27,0.216,89.967,celticmetal
0.48,0.969,4.0,-5.897,0.0,0.166,0.000107,0.00261,0.14,0.146,115.055,celticmetal
0.514,0.997,7.0,-4.297,1.0,0.121,1.18e-05,0.193,0.377,0.102,116.946,celticmetal
0.175,0.882,3.0,-6.123,1.0,0.11,0.00122,0.467,0.157,0.0556,174.579,celticmetal
0.42,0.875,2.0,-4.801,1.0,0.0527,0.000402,0.0106,0.266,0.232,179.993,celticmetal
0.118,0.99,8.0,-3.615,0.0,0.132,2.82e-06,0.916,0.33,0.474,195.014,celticmetal
0.492,0.954,6.0,-4.574,0.0,0.0508,6.65e-05,0.00874,0.257,0.643,152.987,celticmetal
0.235,0.49,4.0,-9.339,0.0,0.0298,0.111,0.000969,0.221,0.221,180.678,celticmetal
0.541,0.912,0.0,-5.491,1.0,0.0455,9.26e-05,0.00518,0.168,0.139,120.05,celticmetal
0.431,0.992,2.0,-2.82,0.0,0.0966,0.000374,0.00401,0.378,0.234,107.096,celticmetal
0.273,0.916,7.0,-4.71,1.0,0.248,0.00367,1.52e-05,0.353,0.119,112.498,celticmetal
0.366,0.947,4.0,-4.034,0.0,0.153,0.000579,1.47e-06,0.105,0.327,184.137,celticmetal
0.538,0.938,11.0,-5.2,1.0,0.0794,0.00138,0.0,0.29,0.744,135.081,celticmetal
0.548,0.878,11.0,-5.758,0.0,0.0449,7.29e-05,0.0395,0.424,0.137,135.052,celticmetal
0.574,0.958,1.0,-3.789,1.0,0.0483,6.64e-05,1.34e-06,0.323,0.855,127.998,celticmetal
0.536,0.849,0.0,-4.702,1.0,0.0616,0.00318,0.00197,0.104,0.305,127.002,celticmetal
0.364,0.923,0.0,-4.901,0.0,0.0744,4.17e-05,0.0206,0.121,0.251,99.974,celticmetal
0.301,0.952,9.0,-6.17,1.0,0.0574,2.68e-05,0.778,0.235,0.471,140.097,celticmetal
0.251,0.985,2.0,-5.119,1.0,0.125,5.4e-06,0.52,0.231,0.222,132.641,celticmetal
0.345,0.908,7.0,-5.618,1.0,0.0485,0.000902,4.01e-06,0.12,0.514,134.809,celticmetal
0.493,0.946,2.0,-6.721,0.0,0.079,0.00258,0.034,0.381,0.518,144.972,celticmetal
0.446,0.978,9.0,-3.52,1.0,0.0985,0.000693,3.72e-06,0.393,0.19,159.933,celticmetal
0.557,0.818,9.0,-8.21,1.0,0.0383,0.00195,0.0,0.103,0.353,95.001,celticmetal
0.548,0.918,4.0,-5.73,0.0,0.0545,3.53e-05,0.0286,0.0797,0.28,107.977,celticmetal
0.447,0.881,5.0,-5.26,1.0,0.0471,0.0097,6.72e-05,0.313,0.335,104.979,celticmetal
0.485,0.967,6.0,-3.649,1.0,0.0704,6.9e-05,0.0,0.297,0.619,74.976,celticmetal
0.5,0.458,2.0,-11.097,1.0,0.027,0.537,0.433,0.101,0.0697,92.056,celticmetal
0.503,0.868,10.0,-7.103,0.0,0.0426,0.0157,6.41e-06,0.123,0.505,108.642,celticmetal
0.391,0.978,6.0,-8.531,0.0,0.0921,6e-06,0.000476,0.0941,0.167,155.043,celticmetal
0.517,0.784,0.0,-5.233,1.0,0.0288,0.0103,0.00472,0.222,0.648,99.957,celticmetal
0.449,0.761,2.0,-9.324,1.0,0.0302,0.000418,0.00594,0.35,0.442,93.506,celticmetal
0.413,0.974,2.0,-5.446,1.0,0.0804,1.19e-05,0.835,0.096,0.108,97.493,celticmetal
0.316,0.735,7.0,-7.525,0.0,0.0371,0.00395,1.27e-06,0.0978,0.0735,78.541,celticmetal
0.446,0.826,5.0,-6.151,0.0,0.0564,0.0598,0.000482,0.0916,0.277,142.02,celticmetal
0.497,0.621,8.0,-6.186,0.0,0.0273,0.0731,0.00127,0.129,0.27,128.057,celticmetal
0.56,0.897,4.0,-7.842,0.0,0.0332,0.000295,0.0,0.113,0.626,140.004,celticmetal
0.544,0.952,8.0,-6.516,1.0,0.0483,0.000269,0.0196,0.0954,0.351,94.007,celticmetal
0.267,0.785,10.0,-9.57,1.0,0.0855,0.00339,0.0214,0.356,0.186,105.015,celticmetal
0.454,0.978,4.0,-4.788,0.0,0.127,0.00279,0.0,0.341,0.436,159.996,celticmetal
0.163,0.922,1.0,-6.206,0.0,0.118,0.0299,0.812,0.067,0.186,104.417,celticmetal
0.388,0.9,1.0,-5.328,1.0,0.115,0.000498,9.42e-05,0.351,0.558,187.036,celticmetal
0.534,0.963,9.0,-5.901,0.0,0.0571,0.000838,0.00477,0.0532,0.527,150.048,celticmetal
0.608,0.945,7.0,-4.363,1.0,0.0422,0.000944,0.0,0.185,0.546,128.06,celticmetal
0.468,0.933,1.0,-4.658,0.0,0.0685,0.000532,3.36e-06,0.119,0.392,143.076,celticmetal
0.262,0.878,11.0,-9.106,0.0,0.0558,0.000291,0.707,0.201,0.571,180.046,celticmetal
0.488,0.414,2.0,-6.495,0.0,0.0269,0.0643,0.0,0.0729,0.0767,99.952,celticmetal
0.425,0.94,11.0,-4.686,0.0,0.419,0.00402,0.0,0.0931,0.226,160.081,celticmetal
0.237,0.961,6.0,-4.437,0.0,0.25,0.00011,0.00321,0.0549,0.181,201.464,celticmetal
0.441,0.974,9.0,-8.109,1.0,0.0715,2.76e-06,0.178,0.285,0.0588,91.015,celticmetal
0.611,0.912,4.0,-5.106,0.0,0.0365,0.000515,0.0,0.133,0.567,120.058,celticmetal
0.442,0.964,7.0,-5.122,1.0,0.0774,0.000531,0.0,0.357,0.44,180.019,celticmetal
0.442,0.948,5.0,-6.515,0.0,0.0786,0.00057,8.94e-06,0.601,0.316,130.054,celticmetal
0.498,0.715,7.0,-6.462,1.0,0.0298,0.0894,1.59e-06,0.0726,0.281,80.025,celticmetal
0.443,0.752,2.0,-7.955,0.0,0.0482,0.288,0.833,0.215,0.278,131.973,celticmetal
0.475,0.982,0.0,-4.201,1.0,0.0651,0.000376,0.0017,0.331,0.618,154.998,celticmetal
0.285,0.877,2.0,-5.339,0.0,0.0657,1.75e-05,0.0603,0.409,0.275,180.107,celticmetal
0.477,0.935,4.0,-5.445,0.0,0.116,2.49e-05,0.743,0.0882,0.116,94.375,celticmetal
0.459,0.97,7.0,-4.188,1.0,0.111,4.49e-06,0.785,0.313,0.315,103.977,celticmetal
0.438,0.992,11.0,-4.228,0.0,0.102,1.6e-05,6.53e-05,0.318,0.466,159.96,celticmetal
0.369,0.931,1.0,-4.325,1.0,0.058,3.24e-05,0.221,0.396,0.229,200.054,celticmetal
0.469,0.88,4.0,-4.175,0.0,0.0417,0.000726,0.000144,0.112,0.104,139.974,celticmetal
0.493,0.922,0.0,-4.12,1.0,0.0445,4.4e-05,0.000107,0.133,0.497,88.01,celticmetal
0.281,0.933,7.0,-2.96,1.0,0.122,0.000179,0.0,0.155,0.201,179.899,celticmetal
0.5,0.928,4.0,-4.63,0.0,0.0542,0.000211,0.00288,0.934,0.619,141.967,celticmetal
0.466,0.96,1.0,-4.256,0.0,0.0425,0.000132,8.37e-05,0.0918,0.595,141.279,celticmetal
0.457,0.978,8.0,-4.398,0.0,0.054,7.01e-05,0.00406,0.0853,0.656,154.996,celticmetal
0.485,0.959,0.0,-4.468,1.0,0.0609,7.22e-05,0.00181,0.292,0.526,110.068,celticmetal
0.335,0.804,9.0,-7.852,0.0,0.0667,0.000463,0.00175,0.306,0.369,154.059,celticmetal
0.148,0.886,9.0,-3.688,0.0,0.0759,3.23e-05,0.00102,0.36,0.138,67.513,celticmetal
0.475,0.913,2.0,-2.754,0.0,0.0463,0.00105,0.0,0.323,0.431,105.056,celticmetal
0.337,0.643,4.0,-8.039,0.0,0.0495,6.68e-05,0.276,0.789,0.176,119.937,celticmetal
0.332,0.977,6.0,-3.492,1.0,0.0759,0.00232,2.66e-05,0.147,0.423,175.114,celticmetal
0.53,0.928,0.0,-4.988,0.0,0.0349,0.000154,0.000409,0.333,0.486,130.008,celticmetal
0.355,0.892,0.0,-5.638,0.0,0.0513,1.34e-05,0.0251,0.108,0.305,177.059,celticmetal
0.508,0.977,1.0,-4.582,1.0,0.0709,2.05e-05,0.0145,0.162,0.305,104.993,celticmetal
0.425,0.935,5.0,-5.924,0.0,0.0495,1.01e-05,0.158,0.157,0.376,144.991,celticmetal
0.208,0.974,4.0,-4.2,1.0,0.13,4.23e-06,0.367,0.157,0.243,133.016,celticmetal
0.579,0.914,1.0,-6.253,0.0,0.0383,9.84e-05,0.000901,0.153,0.504,101.169,celticmetal
0.366,0.979,1.0,-2.753,0.0,0.107,0.000496,2.66e-06,0.0234,0.0941,156.151,celticmetal
0.548,0.936,6.0,-5.001,1.0,0.0575,0.000137,0.000323,0.0845,0.151,100.008,celticmetal
0.487,0.978,8.0,-4.15,1.0,0.0642,2.65e-05,0.000513,0.242,0.545,115.01,celticmetal
0.304,0.936,5.0,-3.996,1.0,0.0747,0.00053,0.00058,0.152,0.555,87.696,celticmetal
0.444,0.938,6.0,-4.56,0.0,0.0855,0.000234,0.0,0.0513,0.741,170.15,celticmetal
0.48,0.955,8.0,-5.327,1.0,0.0563,5.56e-06,0.795,0.117,0.0975,125.042,celticmetal
0.477,0.991,4.0,-4.122,0.0,0.189,5.89e-05,0.0567,0.199,0.113,125.021,celticmetal
0.499,0.899,9.0,-5.087,1.0,0.0518,7.35e-06,0.00514,0.168,0.717,138.02,celticmetal
0.455,0.974,1.0,-2.571,0.0,0.063,0.000136,6.34e-05,0.262,0.428,165.037,celticmetal
0.194,0.986,9.0,-2.669,0.0,0.204,5.61e-05,0.000688,0.34,0.187,180.237,celticmetal
0.352,0.951,8.0,-3.902,0.0,0.0573,0.000725,0.0187,0.339,0.633,170.051,celticmetal
0.534,0.972,0.0,-4.309,1.0,0.0372,4.48e-05,0.626,0.308,0.943,130.023,celticmetal
0.284,0.974,2.0,-2.409,0.0,0.107,0.0246,0.0,0.129,0.302,105.291,celticmetal
0.474,0.944,7.0,-2.614,1.0,0.0726,0.0488,0.0,0.343,0.487,163.047,celticmetal
0.43,0.991,2.0,-2.837,0.0,0.0916,0.000343,0.00249,0.416,0.276,107.031,celticmetal
0.48,0.969,11.0,-2.742,0.0,0.0964,0.0259,0.0,0.0632,0.157,100.057,celticmetal
0.521,0.988,7.0,-2.776,0.0,0.0756,0.0637,0.0858,0.166,0.389,124.994,celticmetal
0.521,0.998,2.0,-1.814,0.0,0.144,0.000534,4.16e-05,0.377,0.206,110.008,celticmetal
0.459,0.995,0.0,-3.122,1.0,0.0938,0.000166,0.000356,0.403,0.0448,110.103,celticmetal
0.548,0.918,4.0,-5.73,0.0,0.0545,3.53e-05,0.0286,0.0797,0.28,107.977,celticmetal
0.466,0.97,7.0,-4.165,1.0,0.111,4.73e-06,0.782,0.316,0.31,104.005,celticmetal
0.518,0.949,9.0,-5.374,0.0,0.13,4.52e-05,0.0158,0.237,0.548,107.944,celticmetal
0.435,0.939,11.0,-4.906,0.0,0.0611,8.18e-05,0.528,0.322,0.706,197.87,celticmetal
0.374,0.92,6.0,-4.653,1.0,0.0501,1.62e-05,0.026,0.0802,0.278,191.014,celticmetal
0.529,0.953,9.0,-4.562,1.0,0.0594,0.000129,0.000487,0.146,0.279,134.968,celticmetal
0.506,0.967,6.0,-2.973,1.0,0.0451,6.59e-05,0.41,0.167,0.488,129.704,celticmetal
0.406,0.964,6.0,-4.453,1.0,0.0476,4.05e-05,0.612,0.0556,0.559,181.982,celticmetal
0.485,0.991,4.0,-3.563,0.0,0.0855,3.22e-05,0.107,0.414,0.0366,125.991,celticmetal
0.231,0.932,11.0,-4.051,1.0,0.0654,2.14e-06,0.513,0.0832,0.106,174.046,celticmetal
0.378,0.929,4.0,-5.603,1.0,0.054,1.04e-05,0.75,0.184,0.447,143.006,celticmetal
0.215,0.788,0.0,-4.254,1.0,0.0338,0.00153,0.694,0.267,0.141,169.788,celticmetal
0.245,0.897,11.0,-3.429,0.0,0.0564,0.00535,0.0112,0.129,0.456,159.823,celticmetal
0.226,0.898,2.0,-5.053,0.0,0.0702,0.000438,0.0241,0.206,0.267,125.799,celticmetal
0.331,0.923,7.0,-4.234,0.0,0.0606,0.000939,0.0325,0.334,0.537,132.352,celticmetal
0.276,0.992,11.0,-4.821,0.0,0.129,5.37e-05,0.0156,0.0987,0.11,104.894,celticmetal
0.283,0.969,7.0,-4.59,1.0,0.13,4.53e-05,0.0388,0.3,0.312,158.665,celticmetal
0.425,0.837,2.0,-5.563,0.0,0.0379,0.000383,0.00341,0.38,0.312,98.026,celticmetal
0.353,0.96,7.0,-5.588,1.0,0.227,6.17e-05,0.000371,0.926,0.267,180.061,celticmetal
0.256,0.979,7.0,-4.079,1.0,0.122,0.0883,0.0434,0.545,0.171,135.035,celticmetal
